Home,score,Guest,Home Score,Guest Score,Result
Брайтон энд Хоув Альбион,0 : 1,Вулверхэмптон,0 , 1,-1
Арсенал,2 : 0,Вест Хэм Юнайтед,2 , 0,1
Челси,1 : 1,Эвертон,1 , 1,0
Ливерпуль,3 : 1,Ньюкасл Юнайтед,3 , 1,1
Лидс Юнайтед,1 : 4,Арсенал,1 , 4,-1
Вулверхэмптон,0 : 0,Челси,0 , 0,0
Ньюкасл Юнайтед,0 : 4,Манчестер Сити,0 , 4,-1
Тоттенхэм Хотспур,2 : 2,Ливерпуль,2 , 2,0
Манчестер Сити,6 : 3,Лестер Сити,6 , 3,1
Вест Хэм Юнайтед,2 : 3,Саутгемптон,2 , 3,-1
Норвич Сити,0 : 5,Арсенал,0 , 5,-1
Тоттенхэм Хотспур,3 : 0,Кристал Пэлас,3 , 0,1
Астон Вилла,1 : 3,Челси,1 , 3,-1
Брайтон энд Хоув Альбион,2 : 0,Брентфорд,2 , 0,1
Ньюкасл Юнайтед,1 : 1,Манчестер Юнайтед,1 , 1,0
Саутгемптон,1 : 1,Тоттенхэм Хотспур,1 , 1,0
Уотфорд,1 : 4,Вест Хэм Юнайтед,1 , 4,-1
Кристал Пэлас,3 : 0,Норвич Сити,3 , 0,1
Лестер Сити,1 : 0,Ливерпуль,1 , 0,1
Челси,1 : 1,Брайтон энд Хоув Альбион,1 , 1,0
Брентфорд,0 : 1,Манчестер Сити,0 , 1,-1
Манчестер Юнайтед,3 : 1,Бёрнли,3 , 1,1
Арсенал,1 : 2,Манчестер Сити,1 , 2,-1
Уотфорд,0 : 1,Тоттенхэм Хотспур,0 , 1,-1
Кристал Пэлас,2 : 3,Вест Хэм Юнайтед,2 , 3,-1
Брентфорд,2 : 1,Астон Вилла,2 , 1,1
Лидс Юнайтед,3 : 1,Бёрнли,3 , 1,1
Эвертон,2 : 3,Брайтон энд Хоув Альбион,2 , 3,-1
Челси,2 : 2,Ливерпуль,2 , 2,0
Манчестер Юнайтед,0 : 1,Вулверхэмптон,0 , 1,-1
Саутгемптон,4 : 1,Брентфорд,4 , 1,1
Вест Хэм Юнайтед,2 : 0,Норвич Сити,2 , 0,1
Брайтон энд Хоув Альбион,1 : 1,Кристал Пэлас,1 , 1,0
Манчестер Сити,1 : 0,Челси,1 , 0,1
Вулверхэмптон,3 : 1,Саутгемптон,3 , 1,1
Ньюкасл Юнайтед,1 : 1,Уотфорд,1 , 1,0
Норвич Сити,2 : 1,Эвертон,2 , 1,1
Астон Вилла,2 : 2,Манчестер Юнайтед,2 , 2,0
Вест Хэм Юнайтед,2 : 3,Лидс Юнайтед,2 , 3,-1
Ливерпуль,3 : 0,Брентфорд,3 , 0,1
Брайтон энд Хоув Альбион,1 : 1,Челси,1 , 1,0
Лестер Сити,2 : 3,Тоттенхэм Хотспур,2 , 3,-1
Брентфорд,1 : 3,Манчестер Юнайтед,1 , 3,-1
Уотфорд,0 : 3,Норвич Сити,0 , 3,-1
Эвертон,0 : 1,Астон Вилла,0 , 1,-1
Манчестер Юнайтед,1 : 0,Вест Хэм Юнайтед,1 , 0,1
Лидс Юнайтед,0 : 1,Ньюкасл Юнайтед,0 , 1,-1
Брентфорд,1 : 2,Вулверхэмптон,1 , 2,-1
Саутгемптон,1 : 1,Манчестер Сити,1 , 1,0
Лестер Сити,1 : 1,Брайтон энд Хоув Альбион,1 , 1,0
Арсенал,0 : 0,Бёрнли,0 , 0,0
Кристал Пэлас,1 : 3,Ливерпуль,1 , 3,-1
Челси,2 : 0,Тоттенхэм Хотспур,2 , 0,1
Бёрнли,0 : 0,Уотфорд,0 , 0,0
Ньюкасл Юнайтед,3 : 1,Эвертон,3 , 1,1
Вест Хэм Юнайтед,1 : 0,Уотфорд,1 , 0,1
Бёрнли,1 : 1,Манчестер Юнайтед,1 , 1,0
Манчестер Сити,2 : 0,Брентфорд,2 , 0,1
Тоттенхэм Хотспур,2 : 3,Саутгемптон,2 , 3,-1
Норвич Сити,1 : 1,Кристал Пэлас,1 , 1,0
Астон Вилла,3 : 3,Лидс Юнайтед,3 , 3,0
Ливерпуль,2 : 0,Лестер Сити,2 , 0,1
Вулверхэмптон,0 : 1,Арсенал,0 , 1,-1
Манчестер Юнайтед,1 : 1,Саутгемптон,1 , 1,0
Уотфорд,0 : 2,Брайтон энд Хоув Альбион,0 , 2,-1
Эвертон,3 : 0,Лидс Юнайтед,3 , 0,1
Брентфорд,0 : 0,Кристал Пэлас,0 , 0,0
Норвич Сити,0 : 4,Манчестер Сити,0 , 4,-1
Тоттенхэм Хотспур,0 : 2,Вулверхэмптон,0 , 2,-1
Бёрнли,0 : 1,Ливерпуль,0 , 1,-1
Ньюкасл Юнайтед,1 : 0,Астон Вилла,1 , 0,1
Лестер Сити,2 : 2,Вест Хэм Юнайтед,2 , 2,0
Манчестер Юнайтед,2 : 0,Брайтон энд Хоув Альбион,2 , 0,1
Вест Хэм Юнайтед,1 : 1,Ньюкасл Юнайтед,1 , 1,0
Арсенал,2 : 1,Брентфорд,2 , 1,1
Астон Вилла,0 : 1,Уотфорд,0 , 1,-1
Брайтон энд Хоув Альбион,0 : 3,Бёрнли,0 , 3,-1
Ливерпуль,3 : 1,Норвич Сити,3 , 1,1
Кристал Пэлас,0 : 1,Челси,0 , 1,-1
Саутгемптон,2 : 0,Эвертон,2 , 0,1
Манчестер Сити,2 : 3,Тоттенхэм Хотспур,2 , 3,-1
Лидс Юнайтед,2 : 4,Манчестер Юнайтед,2 , 4,-1
Вулверхэмптон,2 : 1,Лестер Сити,2 , 1,1
Бёрнли,1 : 0,Тоттенхэм Хотспур,1 , 0,1
Уотфорд,1 : 4,Кристал Пэлас,1 , 4,-1
Ливерпуль,6 : 0,Лидс Юнайтед,6 , 0,1
Арсенал,2 : 1,Вулверхэмптон,2 , 1,1
Саутгемптон,2 : 0,Норвич Сити,2 , 0,1
Лидс Юнайтед,0 : 4,Тоттенхэм Хотспур,0 , 4,-1
Манчестер Юнайтед,0 : 0,Уотфорд,0 , 0,0
Брентфорд,0 : 2,Ньюкасл Юнайтед,0 , 2,-1
Кристал Пэлас,1 : 1,Бёрнли,1 , 1,0
Брайтон энд Хоув Альбион,0 : 2,Астон Вилла,0 , 2,-1
Эвертон,0 : 1,Манчестер Сити,0 , 1,-1
Вест Хэм Юнайтед,1 : 0,Вулверхэмптон,1 , 0,1
Бёрнли,0 : 2,Лестер Сити,0 , 2,-1
Лестер Сити,1 : 0,Лидс Юнайтед,1 , 0,1
Вулверхэмптон,0 : 2,Кристал Пэлас,0 , 2,-1
Норвич Сити,1 : 3,Брентфорд,1 , 3,-1
Бёрнли,0 : 4,Челси,0 , 4,-1
Астон Вилла,4 : 0,Саутгемптон,4 , 0,1
Ньюкасл Юнайтед,2 : 1,Брайтон энд Хоув Альбион,2 , 1,1
Ливерпуль,1 : 0,Вест Хэм Юнайтед,1 , 0,1
Уотфорд,2 : 3,Арсенал,2 , 3,-1
Манчестер Сити,4 : 1,Манчестер Юнайтед,4 , 1,1
Тоттенхэм Хотспур,5 : 0,Эвертон,5 , 0,1
Саутгемптон,1 : 2,Ньюкасл Юнайтед,1 , 2,-1
Вулверхэмптон,4 : 0,Уотфорд,4 , 0,1
Норвич Сити,1 : 3,Челси,1 , 3,-1
Лидс Юнайтед,0 : 3,Астон Вилла,0 , 3,-1
Брайтон энд Хоув Альбион,0 : 2,Ливерпуль,0 , 2,-1
Брентфорд,2 : 0,Бёрнли,2 , 0,1
Манчестер Юнайтед,3 : 2,Тоттенхэм Хотспур,3 , 2,1
Вест Хэм Юнайтед,2 : 1,Астон Вилла,2 , 1,1
Саутгемптон,1 : 2,Уотфорд,1 , 2,-1
Эвертон,0 : 1,Вулверхэмптон,0 , 1,-1
Челси,1 : 0,Ньюкасл Юнайтед,1 , 0,1
Лидс Юнайтед,2 : 1,Норвич Сити,2 , 1,1
Арсенал,2 : 0,Лестер Сити,2 , 0,1
Кристал Пэлас,0 : 0,Манчестер Сити,0 , 0,0
Брайтон энд Хоув Альбион,0 : 2,Тоттенхэм Хотспур,0 , 2,-1
Арсенал,0 : 2,Ливерпуль,0 , 2,-1
Эвертон,1 : 0,Ньюкасл Юнайтед,1 , 0,1
Вулверхэмптон,2 : 3,Лидс Юнайтед,2 , 3,-1
Астон Вилла,0 : 1,Арсенал,0 , 1,-1
Лестер Сити,2 : 1,Брентфорд,2 , 1,1
Тоттенхэм Хотспур,3 : 1,Вест Хэм Юнайтед,3 , 1,1
Ливерпуль,2 : 0,Уотфорд,2 , 0,1
Вулверхэмптон,2 : 1,Астон Вилла,2 , 1,1
Бёрнли,0 : 2,Манчестер Сити,0 , 2,-1
Брайтон энд Хоув Альбион,0 : 0,Норвич Сити,0 , 0,0
Челси,1 : 4,Брентфорд,1 , 4,-1
Лидс Юнайтед,1 : 1,Саутгемптон,1 , 1,0
Манчестер Юнайтед,1 : 1,Лестер Сити,1 , 1,0
Вест Хэм Юнайтед,2 : 1,Эвертон,2 , 1,1
Тоттенхэм Хотспур,5 : 1,Ньюкасл Юнайтед,5 , 1,1
Кристал Пэлас,3 : 0,Арсенал,3 , 0,1
Бёрнли,3 : 2,Эвертон,3 , 2,1
Ньюкасл Юнайтед,1 : 0,Вулверхэмптон,1 , 0,1
Эвертон,1 : 0,Манчестер Юнайтед,1 , 0,1
Саутгемптон,0 : 6,Челси,0 , 6,-1
Уотфорд,0 : 3,Лидс Юнайтед,0 , 3,-1
Арсенал,1 : 2,Брайтон энд Хоув Альбион,1 , 2,-1
Астон Вилла,0 : 4,Тоттенхэм Хотспур,0 , 4,-1
Брентфорд,2 : 0,Вест Хэм Юнайтед,2 , 0,1
Лестер Сити,2 : 1,Кристал Пэлас,2 , 1,1
Норвич Сити,2 : 0,Бёрнли,2 , 0,1
Манчестер Сити,2 : 2,Ливерпуль,2 , 2,0
Тоттенхэм Хотспур,0 : 1,Брайтон энд Хоув Альбион,0 , 1,-1
Саутгемптон,1 : 0,Арсенал,1 , 0,1
Уотфорд,1 : 2,Брентфорд,1 , 2,-1
Манчестер Юнайтед,3 : 2,Норвич Сити,3 , 2,1
Ньюкасл Юнайтед,2 : 1,Лестер Сити,2 , 1,1
Вест Хэм Юнайтед,1 : 1,Бёрнли,1 , 1,0
Ливерпуль,4 : 0,Манчестер Юнайтед,4 , 0,1
Челси,2 : 4,Арсенал,2 , 4,-1
Эвертон,1 : 1,Лестер Сити,1 , 1,0
Ньюкасл Юнайтед,1 : 0,Кристал Пэлас,1 , 0,1
Манчестер Сити,3 : 0,Брайтон энд Хоув Альбион,3 , 0,1
Бёрнли,2 : 0,Саутгемптон,2 , 0,1
Арсенал,3 : 1,Манчестер Юнайтед,3 , 1,1
Лестер Сити,0 : 0,Астон Вилла,0 , 0,0
Манчестер Сити,5 : 1,Уотфорд,5 , 1,1
Норвич Сити,0 : 3,Ньюкасл Юнайтед,0 , 3,-1
Брентфорд,0 : 0,Тоттенхэм Хотспур,0 , 0,0
Брайтон энд Хоув Альбион,2 : 2,Саутгемптон,2 , 2,0
Бёрнли,1 : 0,Вулверхэмптон,1 , 0,1
Челси,1 : 0,Вест Хэм Юнайтед,1 , 0,1
Ливерпуль,2 : 0,Эвертон,2 , 0,1
Кристал Пэлас,0 : 0,Лидс Юнайтед,0 , 0,0
Манчестер Юнайтед,1 : 1,Челси,1 , 1,0
Ньюкасл Юнайтед,0 : 1,Ливерпуль,0 , 1,-1
Уотфорд,1 : 2,Бёрнли,1 , 2,-1
Вулверхэмптон,0 : 3,Брайтон энд Хоув Альбион,0 , 3,-1
Саутгемптон,1 : 2,Кристал Пэлас,1 , 2,-1
Астон Вилла,2 : 0,Норвич Сити,2 , 0,1
Лидс Юнайтед,0 : 4,Манчестер Сити,0 , 4,-1
Эвертон,1 : 0,Челси,1 , 0,1
Тоттенхэм Хотспур,3 : 1,Лестер Сити,3 , 1,1
Вест Хэм Юнайтед,1 : 2,Арсенал,1 , 2,-1
Манчестер Юнайтед,3 : 0,Брентфорд,3 , 0,1
Кристал Пэлас,1 : 0,Уотфорд,1 , 0,1
Бёрнли,1 : 3,Астон Вилла,1 , 3,-1
Брентфорд,3 : 0,Саутгемптон,3 , 0,1
Челси,2 : 2,Вулверхэмптон,2 , 2,0
Брайтон энд Хоув Альбион,4 : 0,Манчестер Юнайтед,4 , 0,1
Ливерпуль,1 : 1,Тоттенхэм Хотспур,1 , 1,0
Лестер Сити,1 : 2,Эвертон,1 , 2,-1
Норвич Сити,0 : 4,Вест Хэм Юнайтед,0 , 4,-1
Арсенал,2 : 1,Лидс Юнайтед,2 , 1,1
Манчестер Сити,5 : 0,Ньюкасл Юнайтед,5 , 0,1
Астон Вилла,1 : 2,Ливерпуль,1 , 2,-1
Лидс Юнайтед,0 : 3,Челси,0 , 3,-1
Лестер Сити,3 : 0,Норвич Сити,3 , 0,1
Уотфорд,0 : 0,Эвертон,0 , 0,0
Вулверхэмптон,1 : 5,Манчестер Сити,1 , 5,-1
Тоттенхэм Хотспур,3 : 0,Арсенал,3 , 0,1
Тоттенхэм Хотспур,1 : 0,Бёрнли,1 , 0,1
Вулверхэмптон,1 : 1,Норвич Сити,1 , 1,0
Вест Хэм Юнайтед,2 : 2,Манчестер Сити,2 , 2,0
Уотфорд,1 : 5,Лестер Сити,1 , 5,-1
Лидс Юнайтед,1 : 1,Брайтон энд Хоув Альбион,1 , 1,0
Астон Вилла,1 : 1,Кристал Пэлас,1 , 1,0
Эвертон,2 : 3,Брентфорд,2 , 3,-1
Ньюкасл Юнайтед,2 : 0,Арсенал,2 , 0,1
Саутгемптон,1 : 2,Ливерпуль,1 , 2,-1
Эвертон,3 : 2,Кристал Пэлас,3 , 2,1
Астон Вилла,1 : 1,Бёрнли,1 , 1,0
Челси,1 : 1,Лестер Сити,1 , 1,0
Норвич Сити,0 : 5,Тоттенхэм Хотспур,0 , 5,-1
Ливерпуль,3 : 1,Вулверхэмптон,3 , 1,1
Челси,2 : 1,Уотфорд,2 , 1,1
Лестер Сити,4 : 1,Саутгемптон,4 , 1,1
Кристал Пэлас,1 : 0,Манчестер Юнайтед,1 , 0,1
Манчестер Сити,3 : 2,Астон Вилла,3 , 2,1
Бёрнли,1 : 2,Ньюкасл Юнайтед,1 , 2,-1
Брентфорд,1 : 2,Лидс Юнайтед,1 , 2,-1
Арсенал,5 : 1,Эвертон,5 , 1,1
Брайтон энд Хоув Альбион,3 : 1,Вест Хэм Юнайтед,3 , 1,1
